Pojem,Definice,Kategorie
Use Case,"Ucelená část funkčnosti systému při komunikaci s aktorem. Spojuje normální chování, variace, chybové podmínky a rušení.",Model interakcí
Aktor,"Vnější uživatel systému který s ním komunikuje ale není jeho součástí. V projektu: Vedoucí skladu a Skladník.",Model interakcí
Include,"Povinné zahrnutí -- základní UC vždy zahrnuje jiný UC. Bez tohoto zahrnutí by základní UC nebyl kompletní. V projektu: Vytvořit pohyb zahrnuje Ověřit data.",Model interakcí
Extend,"Volitelné rozšíření -- základní UC dává smysl i bez rozšíření. Základní UC může být rozšířen o dodatečné chování.",Model interakcí
Scénář,"Posloupnost událostí při jednom konkrétním použití systému. Forma: seznam textových výroků. Graficky: sekvenční diagram.",Model interakcí
Sekvenční diagram,"Ukazuje účastníky interakce a zprávy mezi nimi. Každý aktor je sloupec (pupeční šňůra). Čas plyne shora dolů -- vyjadřuje pořadí zpráv ne přesné časy.",Model interakcí
Diagram aktivit,"Ukazuje tok řízení mezi výpočetními kroky. Modeluje sekvenční i konkurenční toky. Podmínky v hranatých závorkách. Fork/join pro paralelní větve.",Model interakcí
Objektový model,"Vyjadřuje statickou strukturu -- hlavně třídy, vazby a zobecnění. Atributy a operace jsou druhotné. Je základní ze tří modelů.",Tři modely
Dynamický model,"Vyjadřuje změnu aspektů systému během času. Stavové diagramy jeden pro každou třídu. Stavy = uzly, události = souvislosti.",Tři modely
Model interakcí,"Spolupráce objektů v systému. Diagramy: Use Case, Sekvenční, Aktivit. Říká jak na sebe objekty navzájem působí.",Tři modely
Zapouzdření,"Oddělení vnějších hledisek objektu od implementačních detailů. Uživatel vidí jen rozhraní, ne implementaci.",OO principy
Abstrakce,"Důraz na podstatná hlediska a ignorování detailů. Nástroj proti složitosti.",OO principy
Identita,"Každý objekt má svou vlastní identitu. Dva objekty jsou různé i když mají stejné hodnoty atributů.",OO principy
Klasifikace,"Objekty se stejnými atributy a chováním jsou seskupeny do tříd. Každý objekt je instancí třídy.",OO principy
Analýza vs návrh,"Analýza určuje CO se má udělat (ne JAK). Nesmí obsahovat implementační rozhodnutí. Návrh přidává detaily o tom JAK.",Životní cyklus
Doménový model,"Popisuje objekty reálného světa -- součástky, sklady, projekty. Část modelu analýzy.",Životní cyklus
Model aplikace,"Přidává počítačová hlediska viditelná uživatelům. Druhá část modelu analýzy.",Životní cyklus
